,0,1
920,321,24915
921,321,24930
922,321,24960
923,325,20808
924,331,15679
925,331,15698
926,331,15717
927,331,15791
928,331,15808
929,331,15825
930,331,15859
931,331,15875
932,331,15891
933,331,15923
934,331,15939
935,337,4081
936,337,4117
937,337,4165
938,337,4177
939,337,4189
940,337,4201
941,337,4213
942,337,4225
943,337,4329
944,337,5185
945,337,5541
946,337,5556
947,337,5571
948,337,5586
949,337,5601
950,337,5616
951,337,5631
952,337,5646
953,337,5661
954,337,5676
955,337,5691
956,337,5705
957,337,5719
958,337,5733
959,337,5747
960,337,5761
961,337,5775
962,337,5789
963,337,5803
964,337,5817
965,337,6580
966,337,6591
967,337,6602
968,337,6613
969,337,6624
970,337,6635
971,337,6646
972,337,6657
973,337,6668
974,337,6679
975,337,7338
976,337,7350
977,337,7362
978,337,7374
979,337,7386
980,337,7398
981,337,8002
982,337,8015
983,337,8028
984,337,8041
985,337,8542
986,337,23946
987,337,24046
988,337,24086
989,337,24146
990,337,24226
991,337,24246
992,337,24266
993,337,24346
994,337,24366
995,337,24483
996,347,15679
997,347,15698
998,347,15717
999,347,15791
1000,347,15808
1001,347,15825
1002,347,15875
1003,347,15939
1004,353,4081
1005,353,4117
1006,353,4165
1007,353,4177
1008,353,4189
1009,353,4201
1010,353,4213
1011,353,4225
1012,353,4277
1013,353,4329
1014,353,5185
1015,353,5541
1016,353,5556
1017,353,5571
1018,353,5586
1019,353,5601
1020,353,5616
1021,353,5631
1022,353,5646
1023,353,5661
1024,353,5676
1025,353,5691
1026,353,5705
1027,353,5719
1028,353,5733
1029,353,5747
1030,353,5761
1031,353,5775
1032,353,5789
1033,353,5803
1034,353,5817
1035,353,6580
1036,353,6591
1037,353,6602
1038,353,6613
1039,353,6624
1040,353,6635
1041,353,6646
1042,353,6657
1043,353,6668
1044,353,6679
1045,353,7338
1046,353,7350
1047,353,7362
1048,353,7374
1049,353,7386
1050,353,7398
1051,353,7937
1052,353,7963
1053,353,8002
1054,353,8015
1055,353,8028
1056,353,8041
1057,353,8054
1058,353,8542
1059,353,23946
1060,353,24046
1061,353,24086
1062,353,24146
1063,353,24226
1064,353,24246
1065,353,24266
1066,353,24326
1067,353,24346
1068,353,24366
1069,353,24386
1070,353,24483
1071,353,24540
1072,353,24930
1073,363,15679
1074,363,15698
1075,363,15717
1076,363,15791
1077,363,15808
1078,363,15825
1079,363,15875
1080,363,15939
1081,369,4081
1082,369,4105
